type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,3,3,168,-1,96.0,94.0,83.9,84.2,83.4,79.8,80.17999999999999,78.9
CL,10,0,0,594,-1,92.0,88.0,87.9,90.0,80.4,76.6,77.12,77.66000000000001
ACL,10,7,7,583,-1,98.0,96.0,92.9,92.7,90.8,85.4,85.59,82.4
RAND,10,3,3,449,-1,100.0,96.0,87.60000000000001,91.0,89.2,81.8,83.66,80.49
SPCL,10,3,1,542,-1,88.0,82.0,77.2,76.60000000000001,76.4,73.6,74.53,73.81
SPACL,10,0,5,112,-1,100.0,92.0,94.9,89.8,99.0,83.0,92.62,82.16
PCL,10,5,0,454,-1,98.0,90.0,90.6,90.0,94.4,85.4,88.25,83.68
PACL,10,9,9,584,-1,88.0,88.0,81.60000000000001,82.3,75.4,73.8,74.05,74.78999999999999
FSPCL,10,4,9,56,-1,50.0,36.0,44.0,27.9,38.6,26.2,33.47,26.01
FSPACL,10,0,3,91,-1,100.0,100.0,89.7,93.9,99.6,98.4,92.60000000000001,93.49
